Ctyname,stname,cases2023
Laurel County,Kentucky,5
Lawrence County,Kentucky,3
Lee County,Kentucky,0
Leslie County,Kentucky,0
Letcher County,Kentucky,0
Lewis County,Kentucky,1
Lincoln County,Kentucky,0
Livingston County,Kentucky,0
Logan County,Kentucky,0
Lyon County,Kentucky,0
McCracken County,Kentucky,5
McCreary County,Kentucky,0
McLean County,Kentucky,0
Madison County,Kentucky,0
Magoffin County,Kentucky,0
Marion County,Kentucky,0
Marshall County,Kentucky,1
Martin County,Kentucky,1
Mason County,Kentucky,5
Meade County,Kentucky,2
Menifee County,Kentucky,0
Mercer County,Kentucky,0
Metcalfe County,Kentucky,0
Monroe County,Kentucky,1
Montgomery County,Kentucky,0
Morgan County,Kentucky,1
Muhlenberg County,Kentucky,0
Nelson County,Kentucky,0
Nicholas County,Kentucky,0
Ohio County,Kentucky,2
Oldham County,Kentucky,1
Owen County,Kentucky,1
Owsley County,Kentucky,0
Pendleton County,Kentucky,1
Perry County,Kentucky,0
Pike County,Kentucky,4
Powell County,Kentucky,0
Pulaski County,Kentucky,0
Robertson County,Kentucky,0
Rockcastle County,Kentucky,2
Rowan County,Kentucky,1
Russell County,Kentucky,0
Scott County,Kentucky,2
Shelby County,Kentucky,0
Simpson County,Kentucky,0
Spencer County,Kentucky,1
Taylor County,Kentucky,1
Todd County,Kentucky,0
Trigg County,Kentucky,0
Trimble County,Kentucky,4
Union County,Kentucky,0
Warren County,Kentucky,0
Washington County,Kentucky,0
Wayne County,Kentucky,0
Webster County,Kentucky,0
Whitley County,Kentucky,3
Wolfe County,Kentucky,1
Woodford County,Kentucky,0
Acadia Parish,Louisiana,0
Allen Parish,Louisiana,0
Ascension Parish,Louisiana,0
Assumption Parish,Louisiana,0
Avoyelles Parish,Louisiana,0
Beauregard Parish,Louisiana,0
Bienville Parish,Louisiana,0
Bossier Parish,Louisiana,0
Caddo Parish,Louisiana,0
Calcasieu Parish,Louisiana,0
Caldwell Parish,Louisiana,0
Cameron Parish,Louisiana,0
Catahoula Parish,Louisiana,0
Claiborne Parish,Louisiana,0
Concordia Parish,Louisiana,0
De Soto Parish,Louisiana,0
East Baton Rouge Parish,Louisiana,2
East Carroll Parish,Louisiana,0
East Feliciana Parish,Louisiana,0
Evangeline Parish,Louisiana,0
Franklin Parish,Louisiana,0
Grant Parish,Louisiana,0
Iberia Parish,Louisiana,0
Iberville Parish,Louisiana,0
Jackson Parish,Louisiana,0
Jefferson Parish,Louisiana,1
Jefferson Davis Parish,Louisiana,0
Lafayette Parish,Louisiana,1
Lafourche Parish,Louisiana,1
LaSalle Parish,Louisiana,0
Lincoln Parish,Louisiana,0
Livingston Parish,Louisiana,0
Madison Parish,Louisiana,0
Morehouse Parish,Louisiana,0
Natchitoches Parish,Louisiana,0
Orleans Parish,Louisiana,3
Ouachita Parish,Louisiana,0
Plaquemines Parish,Louisiana,1
Pointe Coupee Parish,Louisiana,0
Rapides Parish,Louisiana,0
Red River Parish,Louisiana,0
Richland Parish,Louisiana,0
Sabine Parish,Louisiana,0
St. Bernard Parish,Louisiana,0
St. Charles Parish,Louisiana,0
St. Helena Parish,Louisiana,0
St. James Parish,Louisiana,0
St. John the Baptist Parish,Louisiana,0
St. Landry Parish,Louisiana,1
St. Martin Parish,Louisiana,0
St. Mary Parish,Louisiana,0
St. Tammany Parish,Louisiana,2
Tangipahoa Parish,Louisiana,1
Tensas Parish,Louisiana,0
Terrebonne Parish,Louisiana,0
Union Parish,Louisiana,1
Vermilion Parish,Louisiana,0
Vernon Parish,Louisiana,0
Washington Parish,Louisiana,1
Webster Parish,Louisiana,0
West Baton Rouge Parish,Louisiana,0
West Carroll Parish,Louisiana,0
West Feliciana Parish,Louisiana,0
Winn Parish,Louisiana,0
Androscoggin County,Maine,140
Aroostook County,Maine,13
Cumberland County,Maine,387
Franklin County,Maine,70
Hancock County,Maine,321
Kennebec County,Maine,264
Knox County,Maine,280
Lincoln County,Maine,183
Oxford County,Maine,102
Penobscot County,Maine,239
Piscataquis County,Maine,25
Sagadahoc County,Maine,124
Somerset County,Maine,134
Waldo County,Maine,256
Washington County,Maine,73
York County,Maine,331
Allegany County,Maryland,153
Anne Arundel County,Maryland,162
Baltimore County,Maryland,414
Calvert County,Maryland,52
Caroline County,Maryland,16
Carroll County,Maryland,228
Cecil County,Maryland,104
Charles County,Maryland,42
Dorchester County,Maryland,9
Frederick County,Maryland,220
Garrett County,Maryland,87
Harford County,Maryland,147
Howard County,Maryland,211
Kent County,Maryland,27
Montgomery County,Maryland,125
Prince George's County,Maryland,61
Queen Anne's County,Maryland,40
St. Mary's County,Maryland,65
Somerset County,Maryland,10
Talbot County,Maryland,11
Washington County,Maryland,107
Wicomico County,Maryland,29
Worcester County,Maryland,30
Baltimore city,Maryland,54
Barnstable County,Massachussetts,774
Berkshire County,Massachussetts,588
Bristol County,Massachussetts,1688
Dukes County,Massachussetts,337
Essex County,Massachussetts,640
Franklin County,Massachussetts,143
Hampden County,Massachussetts,218
Hampshire County,Massachussetts,260
Middlesex County,Massachussetts,1348
Nantucket County,Massachussetts,185
Norfolk County,Massachussetts,743
Plymouth County,Massachussetts,1385
Suffolk County,Massachussetts,229
Worcester County,Massachussetts,1144
Alcona County,Michigan,9
Alger County,Michigan,3
Allegan County,Michigan,44
Alpena County,Michigan,2
Antrim County,Michigan,1
Arenac County,Michigan,0
Baraga County,Michigan,9
Barry County,Michigan,31
Bay County,Michigan,6
Benzie County,Michigan,17
Berrien County,Michigan,46
Branch County,Michigan,2
Calhoun County,Michigan,46
Cass County,Michigan,17
Charlevoix County,Michigan,6
Cheboygan County,Michigan,0
Chippewa County,Michigan,2
Clare County,Michigan,3
Clinton County,Michigan,1
Crawford County,Michigan,0
Delta County,Michigan,5
Dickinson County,Michigan,61
Eaton County,Michigan,12
Emmet County,Michigan,6
Genesee County,Michigan,7
Gladwin County,Michigan,0
Gogebic County,Michigan,3
Grand Traverse County,Michigan,10
Gratiot County,Michigan,1
Hillsdale County,Michigan,4
Houghton County,Michigan,13
Huron County,Michigan,3
Ingham County,Michigan,14
Ionia County,Michigan,6
Iosco County,Michigan,16
Iron County,Michigan,17
Isabella County,Michigan,1
Jackson County,Michigan,27
Kalamazoo County,Michigan,187
Kalkaska County,Michigan,1
Kent County,Michigan,80
Keweenaw County,Michigan,2
Lake County,Michigan,1
Lapeer County,Michigan,3
Leelanau County,Michigan,11
Lenawee County,Michigan,4
Livingston County,Michigan,15
Luce County,Michigan,1
Mackinac County,Michigan,2
Macomb County,Michigan,13
Manistee County,Michigan,15
Marquette County,Michigan,7
Mason County,Michigan,11
Mecosta County,Michigan,9
Menominee County,Michigan,6
Midland County,Michigan,6
Missaukee County,Michigan,0
Monroe County,Michigan,1
Montcalm County,Michigan,5
Montmorency County,Michigan,0
Muskegon County,Michigan,13
Newaygo County,Michigan,11
Oakland County,Michigan,48
Oceana County,Michigan,3
Ogemaw County,Michigan,0
Ontonagon County,Michigan,4
Osceola County,Michigan,7
Oscoda County,Michigan,1
Otsego County,Michigan,1
Ottawa County,Michigan,34
Presque Isle County,Michigan,0
Roscommon County,Michigan,0
Saginaw County,Michigan,3
St. Clair County,Michigan,5
St. Joseph County,Michigan,13
Sanilac County,Michigan,1
Schoolcraft County,Michigan,3
Shiawassee County,Michigan,1
Tuscola County,Michigan,1
Van Buren County,Michigan,30
Washtenaw County,Michigan,116
Wayne County,Michigan,25
Wexford County,Michigan,1
Aitkin County,Minnesota,35
Anoka County,Minnesota,190
Becker County,Minnesota,36
Beltrami County,Minnesota,44
Benton County,Minnesota,18
Big Stone County,Minnesota,0
Blue Earth County,Minnesota,12
Brown County,Minnesota,3
Carlton County,Minnesota,46
Carver County,Minnesota,29
Cass County,Minnesota,86
Chippewa County,Minnesota,1
Chisago County,Minnesota,61
Clay County,Minnesota,13
Clearwater County,Minnesota,9
Cook County,Minnesota,9
Cottonwood County,Minnesota,1
Crow Wing County,Minnesota,129
Dakota County,Minnesota,160
Dodge County,Minnesota,3
Douglas County,Minnesota,6
Faribault County,Minnesota,1
Fillmore County,Minnesota,13
Freeborn County,Minnesota,4
Goodhue County,Minnesota,49
Grant County,Minnesota,4
Hennepin County,Minnesota,397
Houston County,Minnesota,38
Hubbard County,Minnesota,54
Isanti County,Minnesota,30
Itasca County,Minnesota,67
Jackson County,Minnesota,0
Kanabec County,Minnesota,13
Kandiyohi County,Minnesota,11
Kittson County,Minnesota,1
Koochiching County,Minnesota,8
Lac qui Parle County,Minnesota,1
Lake County,Minnesota,18
Lake of the Woods County,Minnesota,1
Le Sueur County,Minnesota,4
Lincoln County,Minnesota,0
Lyon County,Minnesota,2
McLeod County,Minnesota,2
Mahnomen County,Minnesota,5
Marshall County,Minnesota,3
Martin County,Minnesota,1
Meeker County,Minnesota,7
Mille Lacs County,Minnesota,16
Morrison County,Minnesota,38
Mower County,Minnesota,8
Murray County,Minnesota,0
Nicollet County,Minnesota,6
Nobles County,Minnesota,0
Norman County,Minnesota,2
Olmsted County,Minnesota,69
Otter Tail County,Minnesota,42
Pennington County,Minnesota,7
Pine County,Minnesota,66
Pipestone County,Minnesota,1
Polk County,Minnesota,10
Pope County,Minnesota,5
Ramsey County,Minnesota,248
Red Lake County,Minnesota,4
Redwood County,Minnesota,1
Renville County,Minnesota,0
Rice County,Minnesota,19
Rock County,Minnesota,0
Roseau County,Minnesota,4
St. Louis County,Minnesota,132
Scott County,Minnesota,38
Sherburne County,Minnesota,86
Sibley County,Minnesota,3
Stearns County,Minnesota,64
Steele County,Minnesota,5
Stevens County,Minnesota,0
Swift County,Minnesota,1
Todd County,Minnesota,15
Traverse County,Minnesota,0
Wabasha County,Minnesota,22
Wadena County,Minnesota,15
Waseca County,Minnesota,2
Washington County,Minnesota,251
Watonwan County,Minnesota,0
Wilkin County,Minnesota,0
Winona County,Minnesota,76
Wright County,Minnesota,57
Yellow Medicine County,Minnesota,0
Adams County,Mississippi,0
Alcorn County,Mississippi,0
Amite County,Mississippi,0
Attala County,Mississippi,0
Benton County,Mississippi,0
Bolivar County,Mississippi,0
Calhoun County,Mississippi,0
Carroll County,Mississippi,0
Chickasaw County,Mississippi,0
Choctaw County,Mississippi,0
Claiborne County,Mississippi,0
Clarke County,Mississippi,0
Clay County,Mississippi,0
Coahoma County,Mississippi,0
Copiah County,Mississippi,0
Covington County,Mississippi,0
DeSoto County,Mississippi,0
Forrest County,Mississippi,1
Franklin County,Mississippi,0
George County,Mississippi,0
Greene County,Mississippi,0
Grenada County,Mississippi,0
Hancock County,Mississippi,0
Harrison County,Mississippi,1
Hinds County,Mississippi,1
Holmes County,Mississippi,0
Humphreys County,Mississippi,0
Issaquena County,Mississippi,0
Itawamba County,Mississippi,0
Jackson County,Mississippi,0
Jasper County,Mississippi,0
Jefferson County,Mississippi,0
Jefferson Davis County,Mississippi,0
Jones County,Mississippi,0
Kemper County,Mississippi,0
Lafayette County,Mississippi,0
Lamar County,Mississippi,0
Lauderdale County,Mississippi,0
Lawrence County,Mississippi,0
Leake County,Mississippi,0
Lee County,Mississippi,0
Leflore County,Mississippi,0
Lincoln County,Mississippi,0
Lowndes County,Mississippi,0
Madison County,Mississippi,0
Marion County,Mississippi,0
Marshall County,Mississippi,0
Monroe County,Mississippi,0
Montgomery County,Mississippi,0
Neshoba County,Mississippi,0
Newton County,Mississippi,0
Noxubee County,Mississippi,0
Oktibbeha County,Mississippi,0
Panola County,Mississippi,0
Pearl River County,Mississippi,0
Perry County,Mississippi,0
Pike County,Mississippi,0
Pontotoc County,Mississippi,0
Prentiss County,Mississippi,0
Quitman County,Mississippi,0
Rankin County,Mississippi,0
Scott County,Mississippi,1
Sharkey County,Mississippi,0
Simpson County,Mississippi,0
Smith County,Mississippi,0
Stone County,Mississippi,0
Sunflower County,Mississippi,0
Tallahatchie County,Mississippi,0
Tate County,Mississippi,0
Tippah County,Mississippi,0
Tishomingo County,Mississippi,0
Tunica County,Mississippi,0
Union County,Mississippi,0
Walthall County,Mississippi,0
Warren County,Mississippi,0
Washington County,Mississippi,0
Wayne County,Mississippi,0
Webster County,Mississippi,0
Wilkinson County,Mississippi,0
Winston County,Mississippi,0
Yalobusha County,Mississippi,0
Yazoo County,Mississippi,0
Adair County,Missouri,0
Andrew County,Missouri,0
Atchison County,Missouri,0
Audrain County,Missouri,0
Barry County,Missouri,0
Barton County,Missouri,0
Bates County,Missouri,0
Benton County,Missouri,0
Bollinger County,Missouri,0
Boone County,Missouri,0
Buchanan County,Missouri,1
Butler County,Missouri,0
Caldwell County,Missouri,0
Callaway County,Missouri,0
Camden County,Missouri,0
Cape Girardeau County,Missouri,0
Carroll County,Missouri,0
Carter County,Missouri,0
Cass County,Missouri,0
Cedar County,Missouri,0
Chariton County,Missouri,0
Christian County,Missouri,1
Clark County,Missouri,1
Clay County,Missouri,0
Clinton County,Missouri,0
Cole County,Missouri,0
Cooper County,Missouri,0
Crawford County,Missouri,0
Dade County,Missouri,0
Dallas County,Missouri,0
Daviess County,Missouri,0
DeKalb County,Missouri,0
Dent County,Missouri,0
Douglas County,Missouri,0
Dunklin County,Missouri,0
Franklin County,Missouri,0
Gasconade County,Missouri,0
Gentry County,Missouri,0
Greene County,Missouri,1
Grundy County,Missouri,0
Harrison County,Missouri,0
Henry County,Missouri,0
Hickory County,Missouri,0
Holt County,Missouri,0
Howard County,Missouri,0
Howell County,Missouri,1
Iron County,Missouri,0
Jackson County,Missouri,2
Jasper County,Missouri,0
Jefferson County,Missouri,1
Johnson County,Missouri,0
Knox County,Missouri,0
Laclede County,Missouri,0
Lafayette County,Missouri,0
Lawrence County,Missouri,0
Lewis County,Missouri,0
Lincoln County,Missouri,0
Linn County,Missouri,0
Livingston County,Missouri,0
McDonald County,Missouri,0
Macon County,Missouri,0
Madison County,Missouri,0
Maries County,Missouri,0
Marion County,Missouri,0
Mercer County,Missouri,0
Miller County,Missouri,0
Mississippi County,Missouri,0
Moniteau County,Missouri,0
Monroe County,Missouri,0
Montgomery County,Missouri,0
Morgan County,Missouri,0
New Madrid County,Missouri,0
Newton County,Missouri,0
Nodaway County,Missouri,0
Oregon County,Missouri,0
Osage County,Missouri,0
Ozark County,Missouri,0
Pemiscot County,Missouri,0
Perry County,Missouri,0
Pettis County,Missouri,0
Phelps County,Missouri,0
Pike County,Missouri,0
Platte County,Missouri,0
Polk County,Missouri,0
Pulaski County,Missouri,1
Putnam County,Missouri,0
Ralls County,Missouri,0
Randolph County,Missouri,0
Ray County,Missouri,0
Reynolds County,Missouri,0
Ripley County,Missouri,0
St. Charles County,Missouri,0
St. Clair County,Missouri,0
Ste. Genevieve County,Missouri,0
St. Francois County,Missouri,0
St. Louis County,Missouri,6
Saline County,Missouri,0
Schuyler County,Missouri,1
Scotland County,Missouri,0
Scott County,Missouri,0
Shannon County,Missouri,0
Shelby County,Missouri,0
Stoddard County,Missouri,0
Stone County,Missouri,0
Sullivan County,Missouri,0
Taney County,Missouri,0
Texas County,Missouri,0
Vernon County,Missouri,0
Warren County,Missouri,0
Washington County,Missouri,0
Wayne County,Missouri,0
Webster County,Missouri,0
Worth County,Missouri,0
Wright County,Missouri,0
St. Louis city,Missouri,0
Beaverhead County,Montana,0
Big Horn County,Montana,0
Blaine County,Montana,0
Broadwater County,Montana,0
Carbon County,Montana,0
Carter County,Montana,0
Cascade County,Montana,1
Chouteau County,Montana,0
Custer County,Montana,1
Daniels County,Montana,0
Dawson County,Montana,0
Deer Lodge County,Montana,0
Fallon County,Montana,0
Fergus County,Montana,0
Flathead County,Montana,0
Gallatin County,Montana,3
Garfield County,Montana,0
Glacier County,Montana,0
Golden Valley County,Montana,0
Granite County,Montana,0
Hill County,Montana,0
Jefferson County,Montana,0
Judith Basin County,Montana,0
Lake County,Montana,2
Lewis and Clark County,Montana,1
Liberty County,Montana,0
Lincoln County,Montana,0
McCone County,Montana,0
Madison County,Montana,0
Meagher County,Montana,0
Mineral County,Montana,0
Missoula County,Montana,2
Musselshell County,Montana,0
Park County,Montana,0
Petroleum County,Montana,0
Phillips County,Montana,0
Pondera County,Montana,0
Powder River County,Montana,0
Powell County,Montana,0
Prairie County,Montana,0
Ravalli County,Montana,0
Richland County,Montana,0
Roosevelt County,Montana,0
Rosebud County,Montana,0
Sanders County,Montana,0
Sheridan County,Montana,0
Silver Bow County,Montana,0
Stillwater County,Montana,0
Sweet Grass County,Montana,0
Teton County,Montana,0
Toole County,Montana,0
Treasure County,Montana,0
Valley County,Montana,0
Wheatland County,Montana,0
Wibaux County,Montana,0
Yellowstone County,Montana,1
Adams County,Nebraska,0
Antelope County,Nebraska,0
Arthur County,Nebraska,0
Banner County,Nebraska,0
Blaine County,Nebraska,0
Boone County,Nebraska,0
Box Butte County,Nebraska,0
Boyd County,Nebraska,0
Brown County,Nebraska,0
Buffalo County,Nebraska,0
Burt County,Nebraska,0
Butler County,Nebraska,0
Cass County,Nebraska,0
Cedar County,Nebraska,0
Chase County,Nebraska,0
Cherry County,Nebraska,0
Cheyenne County,Nebraska,0
Clay County,Nebraska,0
Colfax County,Nebraska,0
Cuming County,Nebraska,0
Custer County,Nebraska,0
Dakota County,Nebraska,0
Dawes County,Nebraska,0
Dawson County,Nebraska,0
Deuel County,Nebraska,0
Dixon County,Nebraska,0
Dodge County,Nebraska,2
Douglas County,Nebraska,0
Dundy County,Nebraska,0
Fillmore County,Nebraska,0
Franklin County,Nebraska,0
Frontier County,Nebraska,0
Furnas County,Nebraska,0
Gage County,Nebraska,0
Garden County,Nebraska,0
Garfield County,Nebraska,0
Gosper County,Nebraska,0
Grant County,Nebraska,0
Greeley County,Nebraska,0
Hall County,Nebraska,0
Hamilton County,Nebraska,0
Harlan County,Nebraska,0
Hayes County,Nebraska,0
Hitchcock County,Nebraska,0
Holt County,Nebraska,0
Hooker County,Nebraska,0
Howard County,Nebraska,0
Jefferson County,Nebraska,0
Johnson County,Nebraska,0
Kearney County,Nebraska,0
Keith County,Nebraska,0
Keya Paha County,Nebraska,0
Kimball County,Nebraska,0
Knox County,Nebraska,0
Lancaster County,Nebraska,1
Lincoln County,Nebraska,0
Logan County,Nebraska,0
Loup County,Nebraska,0
McPherson County,Nebraska,0
Madison County,Nebraska,1
Merrick County,Nebraska,1
Morrill County,Nebraska,0
Nance County,Nebraska,0
Nemaha County,Nebraska,0
Nuckolls County,Nebraska,0
Otoe County,Nebraska,0
Pawnee County,Nebraska,0
Perkins County,Nebraska,0
Phelps County,Nebraska,0
Pierce County,Nebraska,0
Platte County,Nebraska,0
Polk County,Nebraska,0
Red Willow County,Nebraska,0
Richardson County,Nebraska,0
Rock County,Nebraska,0
Saline County,Nebraska,0
Sarpy County,Nebraska,0
Saunders County,Nebraska,0
Scotts Bluff County,Nebraska,0
Seward County,Nebraska,0
Sheridan County,Nebraska,0
Sherman County,Nebraska,0
Sioux County,Nebraska,0
Stanton County,Nebraska,0
Thayer County,Nebraska,0
Thomas County,Nebraska,0
Thurston County,Nebraska,0
Valley County,Nebraska,0
Washington County,Nebraska,0
Wayne County,Nebraska,0
Webster County,Nebraska,0
Wheeler County,Nebraska,0
York County,Nebraska,0
Churchill County,Nevada,0
Clark County,Nevada,6
Douglas County,Nevada,1
Elko County,Nevada,0
Esmeralda County,Nevada,0
Eureka County,Nevada,0
Humboldt County,Nevada,0
Lander County,Nevada,0
Lincoln County,Nevada,1
Lyon County,Nevada,1
Mineral County,Nevada,0
Nye County,Nevada,0
Pershing County,Nevada,0
Storey County,Nevada,0
Washoe County,Nevada,5
White Pine County,Nevada,0
Carson City,Nevada,0
Belknap County,New Hampshire,79
Carroll County,New Hampshire,53
Cheshire County,New Hampshire,120
Coos County,New Hampshire,10
Grafton County,New Hampshire,148
Hillsborough County,New Hampshire,410
Merrimack County,New Hampshire,227
Rockingham County,New Hampshire,259
Strafford County,New Hampshire,169
Sullivan County,New Hampshire,89
Atlantic County,New Jersey,173
Bergen County,New Jersey,486
Burlington County,New Jersey,227
Camden County,New Jersey,177
Cape May County,New Jersey,52
Cumberland County,New Jersey,101
Essex County,New Jersey,213
Gloucester County,New Jersey,144
Hudson County,New Jersey,147
Hunterdon County,New Jersey,735
Mercer County,New Jersey,389
Middlesex County,New Jersey,445
Monmouth County,New Jersey,674
Morris County,New Jersey,674
Ocean County,New Jersey,611
Passaic County,New Jersey,324
Salem County,New Jersey,52
Somerset County,New Jersey,390
Sussex County,New Jersey,530
Union County,New Jersey,149
Warren County,New Jersey,413
Bernalillo County,New Mexico,5
Catron County,New Mexico,0
Chaves County,New Mexico,0
Cibola County,New Mexico,0
Colfax County,New Mexico,0
Curry County,New Mexico,0
De Baca County,New Mexico,0
Doña Ana County,New Mexico,0
Eddy County,New Mexico,0
Grant County,New Mexico,0
Guadalupe County,New Mexico,0
Harding County,New Mexico,0
Hidalgo County,New Mexico,0
Lea County,New Mexico,0
Lincoln County,New Mexico,0
Los Alamos County,New Mexico,2
Luna County,New Mexico,0
McKinley County,New Mexico,0
Mora County,New Mexico,0
Otero County,New Mexico,0
Quay County,New Mexico,0
Rio Arriba County,New Mexico,0
Roosevelt County,New Mexico,0
Sandoval County,New Mexico,1
San Juan County,New Mexico,0
San Miguel County,New Mexico,0
Santa Fe County,New Mexico,1
Sierra County,New Mexico,2
Socorro County,New Mexico,0
Taos County,New Mexico,0
Torrance County,New Mexico,0
Union County,New Mexico,0
Valencia County,New Mexico,0
Albany County,New York,481
Allegany County,New York,185
Bronx County,New York,222
Broome County,New York,357
Cattaraugus County,New York,176
Cayuga County,New York,111
Chautauqua County,New York,163
Chemung County,New York,105
Chenango County,New York,203
Clinton County,New York,113
Columbia County,New York,162
Cortland County,New York,106
Delaware County,New York,244
Dutchess County,New York,1065
Erie County,New York,400
Essex County,New York,138
Franklin County,New York,21
Fulton County,New York,71
Genesee County,New York,33
Greene County,New York,177
Hamilton County,New York,6
Herkimer County,New York,187
Jefferson County,New York,243
Kings County,New York,1200
Lewis County,New York,65
Livingston County,New York,129
Madison County,New York,149
Monroe County,New York,442
Montgomery County,New York,79
Nassau County,New York,691
New York County,New York,1114
Niagara County,New York,40
Oneida County,New York,332
Onondaga County,New York,579
Ontario County,New York,233
Orange County,New York,1201
Orleans County,New York,17
Oswego County,New York,232
Otsego County,New York,358
Putnam County,New York,347
Queens County,New York,477
Rensselaer County,New York,481
Richmond County,New York,248
Rockland County,New York,626
St. Lawrence County,New York,113
Saratoga County,New York,243
Schenectady County,New York,138
Schoharie County,New York,152
Schuyler County,New York,61
Seneca County,New York,38
Steuben County,New York,256
Suffolk County,New York,3262
Sullivan County,New York,360
Tioga County,New York,160
Tompkins County,New York,399
Ulster County,New York,893
Warren County,New York,227
Washington County,New York,301
Wayne County,New York,70
Westchester County,New York,1317
Wyoming County,New York,41
Yates County,New York,82
Alamance County,North Carolina,1
Alexander County,North Carolina,1
Alleghany County,North Carolina,4
Anson County,North Carolina,0
Ashe County,North Carolina,9
Avery County,North Carolina,6
Beaufort County,North Carolina,0
Bertie County,North Carolina,0
Bladen County,North Carolina,0
Brunswick County,North Carolina,2
Buncombe County,North Carolina,37
Burke County,North Carolina,1
Cabarrus County,North Carolina,4
Caldwell County,North Carolina,3
Camden County,North Carolina,0
Carteret County,North Carolina,0
Caswell County,North Carolina,0
Catawba County,North Carolina,1
Chatham County,North Carolina,0
Cherokee County,North Carolina,1
Chowan County,North Carolina,1
Clay County,North Carolina,0
Cleveland County,North Carolina,0
Columbus County,North Carolina,0
Craven County,North Carolina,1
Cumberland County,North Carolina,6
Currituck County,North Carolina,0
Dare County,North Carolina,1
Davidson County,North Carolina,3
Davie County,North Carolina,2
Duplin County,North Carolina,0
Durham County,North Carolina,5
Edgecombe County,North Carolina,0
Forsyth County,North Carolina,6
Franklin County,North Carolina,0
Gaston County,North Carolina,2
Gates County,North Carolina,1
Graham County,North Carolina,0
Granville County,North Carolina,0
Greene County,North Carolina,0
Guilford County,North Carolina,5
Halifax County,North Carolina,0
Harnett County,North Carolina,2
Haywood County,North Carolina,1
Henderson County,North Carolina,2
Hertford County,North Carolina,0
Hoke County,North Carolina,0
Hyde County,North Carolina,0
Iredell County,North Carolina,2
Jackson County,North Carolina,0
Johnston County,North Carolina,1
Jones County,North Carolina,0
Lee County,North Carolina,0
Lenoir County,North Carolina,0
Lincoln County,North Carolina,1
McDowell County,North Carolina,0
Macon County,North Carolina,0
Madison County,North Carolina,8
Martin County,North Carolina,0
Mecklenburg County,North Carolina,14
Mitchell County,North Carolina,13
Montgomery County,North Carolina,0
Moore County,North Carolina,3
Nash County,North Carolina,1
New Hanover County,North Carolina,2
Northampton County,North Carolina,0
Onslow County,North Carolina,1
Orange County,North Carolina,5
Pamlico County,North Carolina,0
Pasquotank County,North Carolina,0
Pender County,North Carolina,1
Perquimans County,North Carolina,1
Person County,North Carolina,0
Pitt County,North Carolina,0
Polk County,North Carolina,1
Randolph County,North Carolina,0
Richmond County,North Carolina,1
Robeson County,North Carolina,0
Rockingham County,North Carolina,1
Rowan County,North Carolina,3
Rutherford County,North Carolina,0
Sampson County,North Carolina,0
Scotland County,North Carolina,0
Stanly County,North Carolina,0
Stokes County,North Carolina,2
Surry County,North Carolina,3
Swain County,North Carolina,0
Transylvania County,North Carolina,3
Tyrrell County,North Carolina,0
Union County,North Carolina,4
Vance County,North Carolina,1
Wake County,North Carolina,10
Warren County,North Carolina,0
Washington County,North Carolina,0
Watauga County,North Carolina,21
Wayne County,North Carolina,1
Wilkes County,North Carolina,1
Wilson County,North Carolina,0
Yadkin County,North Carolina,0
Yancey County,North Carolina,15
Adams County,North Dakota,0
Barnes County,North Dakota,0
Benson County,North Dakota,0
Billings County,North Dakota,0
Bottineau County,North Dakota,0
Bowman County,North Dakota,0
Burke County,North Dakota,0
Burleigh County,North Dakota,2
Cass County,North Dakota,6
Cavalier County,North Dakota,0
Dickey County,North Dakota,0
Divide County,North Dakota,0
Dunn County,North Dakota,0
Eddy County,North Dakota,0
Emmons County,North Dakota,0
Foster County,North Dakota,0
Golden Valley County,North Dakota,0
Grand Forks County,North Dakota,2
Grant County,North Dakota,0
Griggs County,North Dakota,0
Hettinger County,North Dakota,0
Kidder County,North Dakota,0
LaMoure County,North Dakota,0
Logan County,North Dakota,0
McHenry County,North Dakota,0
McIntosh County,North Dakota,0
McKenzie County,North Dakota,0
McLean County,North Dakota,0
Mercer County,North Dakota,0
Morton County,North Dakota,0
Mountrail County,North Dakota,0
Nelson County,North Dakota,0
Oliver County,North Dakota,0
Pembina County,North Dakota,0
Pierce County,North Dakota,0
Ramsey County,North Dakota,0
Ransom County,North Dakota,0
Renville County,North Dakota,0
Richland County,North Dakota,2
Rolette County,North Dakota,0
Sargent County,North Dakota,0
Sheridan County,North Dakota,0
Sioux County,North Dakota,1
Slope County,North Dakota,0
Stark County,North Dakota,0
Steele County,North Dakota,0
Stutsman County,North Dakota,1
Towner County,North Dakota,0
Traill County,North Dakota,0
Walsh County,North Dakota,0
Ward County,North Dakota,1
Wells County,North Dakota,0
Williams County,North Dakota,0
Adams County,Ohio,0
Allen County,Ohio,1
Ashland County,Ohio,11
Ashtabula County,Ohio,2
Athens County,Ohio,11
Auglaize County,Ohio,2
Belmont County,Ohio,18
Brown County,Ohio,1
Butler County,Ohio,2
Carroll County,Ohio,33
Champaign County,Ohio,0
Clark County,Ohio,7
Clermont County,Ohio,16
Clinton County,Ohio,0
Columbiana County,Ohio,122
Coshocton County,Ohio,52
Crawford County,Ohio,3
Cuyahoga County,Ohio,28
Darke County,Ohio,0
Defiance County,Ohio,1
Delaware County,Ohio,5
Erie County,Ohio,7
Fairfield County,Ohio,37
Fayette County,Ohio,0
Franklin County,Ohio,42
Fulton County,Ohio,0
Gallia County,Ohio,4
Geauga County,Ohio,9
Greene County,Ohio,2
Guernsey County,Ohio,43
